bandName,genre,address,startTime,endTime
"DJ Seth Breezy","DJ","760 Virginia Cir NE, Atlanta, GA",14:00,15:00
"Luke Brown & The Jubilee","Country","760 Virginia Cir NE, Atlanta, GA",17:00,18:00
"Downbeat Daddy","Americana","770 Virginia Cir NE, Atlanta, GA",13:00,14:00
"The Rusty Cars","Classic Rock","786 Virginia Cir NE, Atlanta, GA",12:00,13:00
"Fudge","Indie Rock","786 Virginia Cir NE, Atlanta, GA",15:00,16:00
"Doobie & The Goats","Rock","843 Virginia Cir NE, Atlanta, GA",14:00,15:00
"Sessionears","Classic Rock","860 Virginia Cir NE, Atlanta, GA",16:00,17:00
"Ol' Dirty Bathtub","Live Music","886 Virginia Cir NE, Atlanta, GA",14:00,15:00
"Kobanova","Alternative Rock","886 Virginia Cir NE, Atlanta, GA",17:00,18:00
"The Spoons","Covers","901 Virginia Cir NE, Atlanta, GA",16:00,17:00
"Peyton Kyle & Quiet Fire","Alternative Pop","902 Virginia Cir NE, Atlanta, GA",12:00,13:00
"OMCB","Rock","920 Virginia Cir NE, Atlanta, GA",15:00,16:00
"Ponce De Levon","Funk","920 Virginia Cir NE, Atlanta, GA",13:00,14:00
"Better Yet","Alternative Rock","953 Virginia Cir NE, Atlanta, GA",14:00,15:00
"The Bea Arthurs","Rock","953 Virginia Cir NE, Atlanta, GA",17:00,18:00
"The Brower Sisters","Live Music","763 Adair Ave NE, Atlanta, GA",15:00,16:00
"Uncool Unplugged","Covers","771 Adair Ave NE, Atlanta, GA",14:00,15:00
"Poncho Pilot","Rock","771 Adair Ave NE, Atlanta, GA",17:00,18:00
"Andrew Vickery","Americana","781 Adair Ave NE, Atlanta, GA",13:00,14:00
"Stax Hinsley and Tribe Music Group","Other","781 Adair Ave NE, Atlanta, GA",16:00,17:00
"Cutting it Close","Live Music","829 Adair Ave NE, Atlanta, GA",13:00,14:00
"Matt Silliman","DJ","829 Adair Ave NE, Atlanta, GA",16:00,17:00
"Ztunes Chain Reaction","Live Music","885 Adair Ave NE, Atlanta, GA",11:00,12:00
"Concord Grapes","Classic Rock","885 Adair Ave NE, Atlanta, GA",13:00,14:00
"Rare Birds","Rock","885 Adair Ave NE, Atlanta, GA",17:00,18:00
"Fun Room","Funk","914 Adair Ave NE, Atlanta, GA",12:00,13:00
"The Ocho","Indie Rock","914 Adair Ave NE, Atlanta, GA",15:00,16:00
"Gurufish","Live Music","929 Adair Ave NE, Atlanta, GA",16:00,17:00
"Will Slater","Americana","940 Adair Ave NE, Atlanta, GA",12:00,13:00
"The Weekend Lovers","Alternative Rock","1009 Adair Ave NE, Atlanta, GA",17:00,18:00
"Crushed Velvet","Alternative Rock","971 Rupley Dr NE, Atlanta, GA",17:00,18:00
"Wasted Potential Brass Band","Other","971 Rupley Dr NE, Atlanta, GA",13:00,14:00
"Wilburn","Alternative Rock","971 Rupley Dr NE, Atlanta, GA",15:00,16:00
"Ztunes All Caps","Live Music","975 Rupley Dr NE, Atlanta, GA",11:00,12:00
"Blue Gravy","Live Music","919 Todd Rd NE, Atlanta, GA",15:00,16:00
"Bird Dog Jubilee","Rock","959 Todd Rd NE, Atlanta, GA",13:00,14:00
"Lennon Jones Band (LJB)","Singer/Songwriter","959 Todd Rd NE, Atlanta, GA",15:00,16:00
"Big Sinclair","Classic Rock","965 Todd Rd NE, Atlanta, GA",16:00,17:00
"Fleeting Green","Rock","974 Todd Rd NE, Atlanta, GA",12:00,13:00
"Dad Band","Covers","881 Highland View NE, Atlanta, GA",13:00,14:00
"Pushback","Rock","897 Highland View NE, Atlanta, GA",14:00,15:00
"The Dammages","Rock","897 Highland View NE, Atlanta, GA",16:00,17:00
"Schmooze","Live Music","906 Highland View NE, Atlanta, GA",15:00,16:00
"Wiley from Atlanta","Alternative Pop","906 Highland View NE, Atlanta, GA",17:00,18:00
"Phabrik","Live Music","939 Highland View NE, Atlanta, GA",12:00,13:00
"Moonlark","Live Music","939 Highland View NE, Atlanta, GA",15:00,16:00
"Fisheye","Americana","942 Highland View NE, Atlanta, GA",14:00,15:00
"Mutant County Line","Country","942 Highland View NE, Atlanta, GA",17:00,18:00
"Amelia","Alternative Pop","962 Highland View NE, Atlanta, GA",15:00,16:00
"Ben Spotswood","Americana","976 Highland View NE, Atlanta, GA",13:00,14:00
"Malibu Cowboys","Rock","976 Highland View NE, Atlanta, GA",17:00,18:00
"Ten High","Classic Rock","1007 Highland View NE, Atlanta, GA",15:00,16:00
"Hunter Callahan","Singer/Songwriter","1012 Highland View NE, Atlanta, GA",12:00,13:00
"The Jesse Williams Band","Blues","1012 Highland View NE, Atlanta, GA",16:00,17:00
"Billy Stonecipher","Singer/Songwriter","1013 Highland View NE, Atlanta, GA",11:00,12:00
"Duke Jones","Country","1013 Highland View NE, Atlanta, GA",14:00,15:00
"Lotus Grove","Indie Rock","1017 Highland View NE, Atlanta, GA",13:00,14:00
"Pinto Sunshine","Indie Rock","1017 Highland View NE, Atlanta, GA",17:00,18:00
"Cosmik Debris","Covers","1025 Highland View NE, Atlanta, GA",12:00,13:00
"Riff Cats","Blues","1025 Highland View NE, Atlanta, GA",15:00,16:00
"MARS Project","Live Music","756 Ponce de Leon Ter, Atlanta, GA",14:00,15:00
"Seed & Feed Marching Abominable","Other","764 Ponce de Leon Ter NE, Atlanta, GA",12:00,13:00
"Backyard Loveseat","Live Music","805 Ponce De Leon Terrace, Atlanta, GA",15:00,16:00
"The Dazy Chains","Alternative Rock","805 Ponce De Leon Terrace, Atlanta, GA",17:00,18:00
"Parachutes","Rock","812 Ponce de Leon Ter NE, Atlanta, GA",14:00,15:00
"bendr","Live Music","830 Ponce de Leon Ter NE, Atlanta, GA",15:00,16:00
"Basement Recess","Indie Rock","830 Ponce de Leon Ter NE, Atlanta, GA",17:00,18:00
